inventory_id,product_id,warehouse_id,quantity_on_hand,quantity_reserved
1,1,5,999,79
2,1,9,1503,25
3,1,2,522,122
4,1,4,1948,124
5,1,10,1813,14
6,1,8,181,173
7,1,1,4,2
8,1,3,1586,106
9,1,7,876,134
10,1,6,1299,105
11,2,2,1739,161
12,3,10,146,29
13,3,5,1633,6
14,4,3,1203,178
15,4,5,67,50
16,4,9,13,0
17,4,7,1907,22
18,5,4,505,177
19,5,10,599,70
20,5,3,258,122
21,5,2,307,13
22,6,5,202,22
23,6,2,235,72
24,6,3,752,64
25,6,9,1022,87
26,6,7,1832,145
27,7,8,1996,149
28,7,5,1484,165
29,7,7,1030,107
30,7,9,1792,188
31,7,6,617,156
32,7,10,1087,98
33,7,3,267,21
34,7,1,1964,155
35,7,2,1213,103
36,7,4,17,5
37,8,9,1831,94
38,8,8,415,93
39,8,1,1705,199
40,8,10,1817,13
41,8,4,589,137
42,8,7,420,5
43,8,5,402,116
44,8,6,212,188
45,8,3,1594,67
46,8,2,1155,8
47,9,1,303,111
48,10,5,787,38
49,10,4,430,185
50,10,6,1046,179
51,10,10,1514,66
52,10,9,1043,11
53,10,3,1039,83
54,11,1,654,87
55,11,7,703,182
56,11,3,1742,170
57,11,5,753,93
58,11,8,1396,85
59,11,2,1901,70
60,11,10,426,152
61,11,6,774,161
62,11,4,589,42
63,12,9,1359,158
64,12,8,1411,40
65,13,9,43,38
66,13,10,648,15
67,13,8,283,114
68,13,6,1947,60
69,14,6,1207,57
70,14,2,440,163
71,14,5,1979,74
72,14,3,255,30
73,14,7,1545,189
74,14,8,1987,146
75,14,9,510,79
76,15,3,947,63
77,15,1,895,37
78,15,2,1513,41
79,15,8,1229,147
80,15,4,503,64
81,15,10,569,48
82,15,9,252,120
83,15,5,1093,116
84,15,7,556,158
85,16,8,453,197
86,16,7,615,14
87,16,2,281,78
88,16,5,1946,153
89,16,4,1109,16
90,16,9,1154,79
91,17,4,1393,31
92,17,2,646,45
93,18,6,522,24
94,18,9,741,146
95,18,4,1989,119
96,18,3,1038,119
97,18,7,296,105
98,18,5,1091,17
99,18,1,451,182
100,19,8,1206,179
101,19,6,1978,144
102,19,5,1318,54
103,19,3,644,176
104,19,2,34,25
105,20,6,983,192
106,21,7,254,98
107,21,5,1371,99
108,21,1,1522,86
109,21,9,990,136
110,21,10,1531,113
111,22,8,935,18
112,23,8,1460,140
113,23,10,582,196
114,23,1,355,101
115,23,2,582,106
116,23,3,508,0
117,24,8,1822,112
118,24,5,1427,167
119,25,3,651,91
120,25,6,50,14
121,25,10,1798,43
122,25,4,378,189
123,25,7,998,21
124,25,8,355,190
125,25,2,217,141
126,26,9,1389,97
127,26,8,1540,13
128,26,1,1139,146
129,26,6,1707,141
130,26,7,733,190
131,26,2,1441,109
132,26,10,918,149
133,26,3,734,154
134,27,5,191,191
135,27,10,737,200
136,27,1,1104,44
137,27,8,491,182
138,27,9,335,128
139,27,3,1929,93
140,28,2,58,5
141,28,4,793,67
142,28,5,463,10
143,28,8,900,178
144,28,9,1989,27
145,28,3,1130,132
146,28,7,1856,161
147,28,10,374,20
148,28,6,36,5
149,28,1,75,63
150,29,8,638,161
151,29,4,119,75
152,29,3,486,105
153,29,2,394,78
154,29,5,1925,15
155,30,8,1083,102
156,30,5,826,0
157,31,8,746,57
158,31,4,1597,121
159,32,9,1158,27
160,32,7,1146,24
161,32,2,1144,88
162,32,6,911,113
163,32,1,1381,22
164,33,4,573,165
165,33,7,1718,125
166,33,10,901,9
167,33,6,1806,32
168,33,2,953,156
169,34,3,754,9
170,34,4,763,51
171,34,9,0,0
172,35,4,1179,16
173,35,3,1925,7
174,35,8,1092,159
175,35,6,1180,64
176,35,1,205,113
177,36,10,57,34
178,36,7,597,72
179,36,1,1852,188
180,36,8,1493,200
181,36,6,1512,104
182,36,2,944,117
183,36,5,297,151
184,36,3,57,0
185,36,4,622,114
186,37,6,1905,3
187,37,4,1581,81
188,37,5,487,36
189,37,9,1952,139
190,37,3,1872,165
191,37,2,1854,70
192,37,8,138,12
193,37,10,609,133
194,38,10,848,7
195,38,5,18,3
196,38,3,1398,70
197,38,1,1896,64
198,38,9,1983,160
199,38,8,1397,136
200,38,6,1279,184
201,38,4,1264,131
202,38,2,1791,194
203,39,6,1852,105
204,39,8,1857,91
205,39,9,1074,77
206,39,10,814,135
207,40,8,1707,109
208,41,2,717,74
209,41,1,90,10
210,41,9,1313,43
211,41,3,684,136
212,41,7,1500,159
213,41,8,453,99
214,41,4,1335,185
215,41,6,1055,88
216,42,9,1099,89
217,42,5,797,195
218,42,10,466,161
219,42,7,125,42
220,42,3,305,190
221,42,1,1310,163
222,42,6,707,155
223,42,2,92,20
224,42,8,1022,21
225,43,7,841,119
226,43,4,879,175
227,43,9,1580,34
228,43,3,1374,177
229,43,10,543,113
230,43,2,626,39
231,43,5,1988,183
232,43,1,998,194
233,43,8,931,92
234,44,10,1216,137
235,44,4,1956,185
236,44,5,1079,14
237,44,2,1471,48
238,44,8,1691,198
239,45,3,1585,84
240,45,10,1055,12
241,45,2,486,17
242,46,8,582,40
243,46,10,711,79
244,46,9,391,86
245,46,1,1159,42
246,46,5,12,10
247,46,2,1988,158
248,46,6,948,9
249,47,9,1474,155
250,47,7,1315,112
251,47,1,1820,83
252,47,4,895,0
253,47,2,996,97
254,48,8,1124,174
255,48,5,1917,99
256,48,4,1225,149
257,48,6,478,48
258,48,1,1481,3
259,48,9,894,114
260,48,2,1833,66
261,48,7,502,58
262,49,9,1210,141
263,49,2,644,86
264,49,5,1710,167
265,49,10,1339,43
266,49,4,889,159
267,50,1,1075,41
268,51,3,1383,76
269,51,10,1166,3
270,51,5,1948,21
271,51,6,1046,131
272,51,1,804,55
273,51,7,1867,165
274,51,8,780,58
275,52,9,1069,91
276,52,2,1275,200
277,52,7,548,150
278,52,6,1598,93
279,53,10,1148,39
280,53,5,1895,28
281,53,1,1110,82
282,53,3,1076,127
283,53,9,1365,60
284,53,8,1274,125
285,53,6,170,101
286,53,4,1924,90
287,53,2,40,10
288,54,1,1303,119
289,54,2,967,71
290,54,8,596,49
291,54,9,489,69
292,54,7,1194,116
293,54,6,47,47
294,54,5,948,7
295,54,4,1549,21
296,54,10,1876,142
297,54,3,145,95
298,55,1,170,71
299,55,6,1085,131
300,55,10,1009,167
301,55,4,1607,171
302,55,9,321,40
303,55,3,1540,114
304,55,2,1314,10
305,55,5,1788,158
306,55,8,1205,83
307,55,7,1468,13
308,56,4,686,158
309,56,3,1521,18
310,56,7,1931,154
311,56,2,546,23
312,56,9,111,76
313,56,5,1607,181
314,57,8,278,45
315,57,9,314,107
316,58,7,523,55
317,58,2,380,15
318,58,10,278,195
319,58,8,147,8
320,58,9,449,171
321,58,1,673,37
322,58,5,1868,146
323,58,3,266,173
324,58,6,1011,87
325,59,6,174,160
326,59,4,1397,159
327,59,7,515,173
328,59,10,1881,180
329,59,9,1288,79
330,59,5,1493,66
331,59,2,891,149
332,59,1,1306,39
333,59,8,1860,171
334,60,8,1467,185
335,60,9,348,196
336,60,2,1781,158
337,60,5,1109,131
338,60,6,27,14
339,60,7,1668,135
340,60,3,1387,155
341,60,4,792,90
342,61,8,899,191
343,61,6,1443,141
344,62,10,1988,188
345,62,3,1905,193
346,62,6,12,8
347,62,1,1476,67
348,62,8,761,178
349,62,5,1663,78
350,62,4,839,78
351,62,2,856,45
352,62,7,1882,99
353,62,9,1108,15
354,63,3,123,60
355,63,5,299,101
356,63,10,1642,134
357,63,7,3,1
358,63,6,1387,12
359,63,8,1885,134
360,63,9,1022,136
361,63,1,1095,15
362,63,4,1523,142
363,63,2,1945,42
364,64,3,1003,81
365,64,10,1275,52
366,64,9,1254,189
367,64,7,367,43
368,64,1,1759,123
369,65,10,1247,57
370,65,3,1870,141
371,65,4,1373,79
372,65,1,1312,123
373,65,2,1374,169
374,65,7,1677,147
375,65,9,65,40
376,65,6,1658,96
377,65,5,1792,165
378,66,7,1585,103
379,66,9,1885,94
380,66,3,1158,76
381,66,2,389,49
382,66,8,502,79
383,66,10,1925,126
384,66,4,900,72
385,66,5,1269,34
386,66,1,1589,108
387,66,6,340,63
388,67,1,435,155
389,67,7,1231,142
390,67,6,592,96
391,67,10,1047,82
392,68,9,1613,44
393,68,8,437,93
394,68,6,867,11
395,68,10,224,11
396,68,2,731,2
397,69,2,570,84
398,69,10,337,62
399,69,5,1357,152
400,69,1,1861,125
401,69,4,1956,189
402,70,10,208,41
403,70,6,1504,119
404,70,2,1368,51
405,70,9,1911,32
406,70,3,1193,64
407,70,8,455,19
408,70,1,1064,157
409,70,4,1667,26
410,70,5,1978,146
411,70,7,300,90
412,71,3,649,102
413,71,8,363,161
414,71,4,1061,57
415,71,6,1910,118
416,71,7,601,55
417,71,1,1541,12
418,72,8,739,57
419,72,3,160,4
420,72,6,563,61
421,72,7,1884,80
422,72,10,1959,125
423,72,9,659,88
424,72,4,1400,195
425,72,1,1199,3
426,72,5,640,106
427,73,6,1846,69
428,73,10,1322,15
429,73,9,1119,141
430,73,8,1227,114
431,74,7,1506,83
432,74,3,699,38
433,74,9,1496,174
434,74,1,1058,163
435,74,8,838,150
436,74,2,155,119
437,74,10,1975,157
438,74,4,872,137
439,75,6,312,87
440,75,7,1917,81
441,75,8,739,4
442,75,3,367,123
443,75,4,400,185
444,75,1,681,123
445,75,2,686,83
446,75,9,1489,57
447,76,10,1790,11
448,76,2,704,48
449,77,8,763,131
450,77,2,1670,178
451,77,1,1939,136
452,77,6,1899,97
453,78,10,467,174
454,78,3,518,21
455,78,1,539,176
456,79,8,1572,30
457,79,10,492,93
458,79,1,583,2
459,79,9,1992,19
460,79,7,1529,185
461,79,2,289,37
462,79,6,1494,143
463,80,3,289,172
464,80,10,1589,69
465,81,3,692,75
466,82,5,568,143
467,82,2,148,11
468,82,8,928,62
469,82,4,61,12
470,82,10,1428,171
471,83,6,1566,10
472,83,5,760,107
473,83,4,1528,8
474,83,2,1922,53
475,83,9,1397,40
476,84,10,65,41
477,84,5,1337,12
478,84,3,1802,17
479,84,9,470,149
480,84,8,1855,94
481,84,7,1373,30
482,84,2,79,36
483,84,6,1806,138
484,84,4,902,173
485,85,8,1368,188
486,85,9,1494,17
487,85,2,845,7
488,85,1,1768,125
489,85,6,1959,17
490,85,7,18,4
491,85,3,1418,86
492,86,7,1993,31
493,86,1,278,69
494,86,2,276,134
495,86,9,985,154
496,86,10,1181,153
497,86,8,1020,150
498,86,4,1592,158
499,86,5,671,37
500,86,6,283,47
501,87,4,975,72
502,87,7,1194,108
503,87,9,749,101
504,87,2,1936,86
505,87,3,196,175
506,87,10,1517,181
507,87,1,1632,44
508,88,5,1795,34
509,88,4,377,30
510,88,10,680,17
511,88,8,372,142
512,88,9,519,135
513,89,9,818,121
514,89,10,1040,64
515,89,3,1793,161
516,89,5,1316,49
517,89,1,278,7
518,89,2,1252,85
519,89,6,1233,102
520,90,5,709,193
521,91,9,419,66
522,91,10,287,13
523,91,1,442,37
524,91,3,722,36
525,92,3,947,43
526,92,7,275,13
527,92,2,778,39
528,92,8,727,175
529,92,1,936,153
530,92,4,854,42
531,92,5,333,27
532,92,10,1019,132
533,92,6,1528,200
534,93,4,1898,159
535,93,3,696,163
536,93,6,1659,196
537,93,10,1069,181
538,93,8,832,42
539,94,10,1019,143
540,94,6,861,146
541,94,7,718,149
542,94,2,981,139
543,94,9,856,55
544,94,5,1154,138
545,94,4,1214,15
546,94,1,1902,38
547,94,8,789,76
548,95,1,1101,95
549,95,4,1205,84
550,95,9,1248,142
551,95,8,131,128
552,95,10,1828,130
553,95,6,1305,177
554,95,7,1878,61
555,95,2,691,179
556,95,5,951,150
557,95,3,285,67
558,96,7,875,126
559,96,9,1863,189
560,97,6,239,27
561,97,9,673,158
562,97,7,785,193
563,97,3,1582,45
564,98,2,41,33
565,98,7,429,103
566,98,9,144,86
567,98,10,669,72
568,98,4,1422,66
569,99,7,741,178
570,99,1,1237,39
571,99,9,272,192
572,99,6,674,139
573,99,2,979,28
574,100,1,261,139
575,100,3,782,145
576,100,2,1247,133
577,100,8,1324,197
578,100,7,1977,10
579,100,5,1737,186
580,101,1,210,68
581,101,3,364,26
582,101,10,102,26
583,101,9,889,134
584,101,5,464,9
585,101,8,1052,24
586,101,6,687,102
587,102,10,1746,41
588,103,7,1784,92
589,103,1,477,102
590,103,8,1011,73
591,103,5,1446,151
592,103,9,965,74
593,103,4,1772,114
594,103,3,686,159
595,103,2,396,28
596,103,10,1020,59
597,104,8,423,42
598,104,6,1292,38
599,104,9,1633,21
600,104,2,339,12
601,104,4,992,15
602,104,5,1067,72
603,104,1,1024,46
604,104,10,1346,66
605,105,9,976,20
606,105,10,1971,151
607,105,1,1406,43
