po_item_id,po_id,product_id,quantity_ordered,quantity_received,unit_cost
1,1,2873,192,192,496.19
2,1,3823,396,396,476.51
3,1,1325,136,136,46.83
4,1,1295,470,470,104.33
5,1,2683,193,193,268.77
6,2,1698,88,0,350.13
7,2,2500,386,0,318.73
8,2,1357,161,0,454.9
9,3,2668,248,248,308.25
10,3,4081,333,333,6.18
11,4,720,385,385,344.78
12,4,3007,309,309,277.88
13,5,550,300,300,99.62
14,5,3439,483,483,328.67
15,5,3260,110,110,2.7
16,5,4095,432,432,229.49
17,6,3257,88,88,44.84
18,6,2896,266,266,477.45
19,6,2505,77,77,77.84
20,6,41,411,411,356.34
21,6,1450,107,107,216.95
22,6,2092,75,75,419.39
23,7,804,480,480,256.97
24,7,3737,74,74,469.29
25,7,2370,453,453,429.79
26,7,2359,23,23,131.66
27,7,560,473,473,184.79
28,8,1447,381,381,312.6
29,8,2442,454,454,170.8
30,9,4507,399,399,97.5
31,9,809,284,284,161.77
32,9,777,198,198,38.54
33,9,495,401,401,23.89
34,9,2416,345,345,202.33
35,10,3167,489,489,215.5
36,10,587,288,288,478.26
37,10,2752,257,257,176.66
38,11,4579,170,170,148.39
39,11,3780,334,334,250.5
40,12,958,194,194,197.77
41,12,4804,304,304,499.17
42,13,1807,360,360,405.89
43,13,4405,55,55,64.89
44,13,3240,246,246,437.59
45,14,3867,271,271,131.59
46,14,2341,191,191,189.5
47,14,780,17,17,370.19
48,14,498,243,243,20.6
49,15,109,108,108,62.43
50,15,2332,426,426,356.24
51,15,527,156,156,320.75
52,15,1036,377,377,139.11
53,16,4955,400,400,412.65
54,16,2920,480,480,465.1
55,16,3400,72,72,353.59
56,16,4724,213,213,250.92
57,16,3900,461,461,104.91
58,16,4000,178,178,216.33
59,17,1668,123,123,38.53
60,17,4690,19,19,125.61
61,17,791,146,146,195.91
62,17,1812,128,128,233.77
63,17,780,282,282,370.19
64,18,1355,91,91,15.59
65,19,2132,107,107,170.8
66,19,2460,239,239,474.27
67,19,129,353,353,40.33
68,19,3487,234,234,320.65
69,19,2049,436,436,94.95
70,19,3892,482,482,23.71
71,20,4514,420,420,263.19
72,20,3436,37,37,18.33
73,20,785,263,263,273.19
74,20,3779,289,289,165.73
75,20,2806,10,10,238.8
76,20,3988,493,493,193.72
77,21,3541,237,0,338.51
78,21,2003,445,0,187.33
79,21,4506,200,0,361.61
80,22,1673,23,23,315.94
81,22,419,250,250,19.94
82,23,2149,14,14,221.56
83,23,3252,65,65,439.35
84,23,2499,462,462,147.94
85,23,1057,444,444,71.25
86,24,3378,190,0,180.3
87,24,808,422,0,453.79
88,24,4476,489,0,244.61
89,24,4494,84,0,318.92
90,25,578,192,0,173.25
91,25,3726,226,0,124.41
92,25,4819,217,0,326.71
93,25,220,156,0,133.2
94,26,3807,332,332,82.54
95,27,2117,111,111,186.78
96,27,1183,135,135,383.28
97,27,3934,172,172,64.16
98,27,1530,445,445,110.3
99,27,2022,46,46,319.68
100,28,314,224,224,22.29
101,29,614,357,231,220.14
102,29,969,418,329,155.76
103,29,4860,255,231,331.12
104,29,4912,286,21,305.27
105,29,2998,367,109,56.98
106,30,2182,63,0,11.59
107,31,2787,496,496,138.88
108,31,4321,22,22,435.59
