po_id,supplier_id,warehouse_id,employee_id,order_date,expected_delivery_date,actual_delivery_date,status
1,99,10,135,2023-03-15,2023-03-24,2023-03-27,received
2,84,10,239,2024-02-27,2024-03-03,,pending
3,19,1,216,2025-11-28,2025-12-12,2025-12-21,received
4,21,5,41,2023-07-10,2023-07-22,2023-07-25,received
5,54,8,129,2024-07-23,2024-08-09,2024-08-13,received
6,66,9,259,2026-03-23,2026-04-04,2026-04-04,received
7,18,3,296,2026-01-25,2026-02-08,2026-02-10,received
8,64,3,73,2025-03-10,2025-03-23,2025-04-01,received
9,2,5,164,2024-07-14,2024-07-26,2024-08-03,received
10,69,2,126,2024-11-03,2024-11-23,2024-12-01,received
11,67,8,89,2026-04-30,2026-05-09,2026-05-11,received
12,4,2,209,2026-01-03,2026-01-16,2026-01-16,received
13,5,1,211,2025-12-18,2025-12-26,2026-01-04,received
14,21,9,254,2024-01-25,2024-02-10,2024-02-20,received
15,13,7,138,2025-07-22,2025-08-05,2025-08-10,received
16,74,10,112,2023-12-26,2024-01-09,2024-01-14,received
17,89,5,170,2024-09-30,2024-10-16,2024-10-23,received
18,26,6,242,2023-08-19,2023-09-07,2023-09-10,received
19,65,3,145,2024-12-11,2024-12-29,2025-01-03,received
20,79,6,222,2025-09-30,2025-10-08,2025-10-12,received
21,34,3,64,2025-08-03,2025-08-23,,pending
22,56,1,276,2023-08-05,2023-08-14,2023-08-24,received
23,50,3,88,2026-05-17,2026-05-31,2026-06-09,received
24,20,2,134,2023-01-23,2023-02-05,,cancelled
25,94,3,90,2025-07-28,2025-08-06,,pending
26,20,6,134,2026-05-22,2026-06-07,2026-06-07,received
27,100,5,8,2026-07-24,2026-07-29,2026-08-05,received
28,14,10,90,2025-04-07,2025-04-22,2025-04-23,received
29,24,7,174,2025-04-28,2025-05-12,,shipped
30,34,4,13,2026-03-13,2026-03-19,,cancelled
31,82,6,224,2025-03-27,2025-04-04,2025-04-11,received
32,7,4,157,2023-01-06,2023-01-26,2023-01-30,received
33,5,2,242,2026-03-21,2026-04-09,2026-04-09,received
