so_item_id,so_id,product_id,quantity,unit_price,discount_pct
1,1,443,17,92.09,0
2,1,4360,15,297.04,0
3,1,1814,4,473.0,20
4,1,2305,4,830.66,15
5,1,3238,15,166.91,5
6,2,2856,19,769.98,5
7,2,1088,19,463.35,5
8,2,2410,14,673.89,0
9,2,1825,7,343.92,0
10,2,1460,7,577.81,15
11,3,2974,4,668.24,0
12,4,111,10,565.73,15
13,4,3582,8,342.19,10
14,4,1597,4,880.19,0
15,4,1115,13,159.6,15
16,5,4288,18,881.8,5
17,5,2771,17,86.0,20
18,5,3173,17,458.33,0
19,6,625,8,870.05,15
20,7,3502,4,516.56,0
21,7,671,6,425.93,5
22,7,4517,6,1004.71,10
23,7,875,7,177.04,5
24,8,4875,6,512.01,10
25,8,4641,5,505.51,0
26,9,4132,5,390.13,10
27,9,4030,9,88.66,20
28,9,1185,9,223.87,15
29,9,3417,1,400.66,0
30,9,2439,20,660.62,0
31,10,973,14,493.99,0
32,10,2742,11,538.42,15
33,10,1626,19,334.76,10
34,10,2782,7,584.88,0
35,10,2340,8,826.56,15
36,11,2608,2,451.22,0
37,11,3893,20,601.81,0
38,11,4735,5,486.39,0
39,11,3553,7,53.08,0
40,11,4437,7,240.02,15
41,12,1345,3,64.46,10
42,12,1307,16,269.33,20
43,12,4152,20,71.14,15
44,13,3791,18,837.74,20
45,14,377,8,181.49,10
46,14,2870,16,168.6,5
47,14,135,13,500.53,0
48,14,1865,6,873.24,5
49,15,3540,4,474.61,0
50,16,1562,9,152.97,5
51,16,1925,9,795.13,15
52,16,4759,13,615.54,0
53,17,4918,8,61.35,0
54,18,1657,17,117.75,15
55,18,4791,14,259.18,15
56,18,3223,20,912.34,0
57,18,4578,2,115.26,0
58,18,3013,1,663.11,0
59,19,3880,11,557.8,5
60,19,30,8,471.56,0
61,19,3317,4,178.44,15
62,19,4133,9,333.68,5
63,20,1113,13,347.78,0
64,21,2713,3,214.08,0
65,21,4627,19,860.02,0
66,21,851,8,122.92,0
67,21,2422,9,366.81,20
68,21,4462,10,317.84,5
69,22,3543,17,13.38,0
70,22,3909,3,683.19,0
71,22,4905,1,375.14,0
72,22,1541,1,251.7,5
73,22,400,13,265.58,20
74,23,1787,14,917.85,5
75,23,4408,14,391.34,10
76,23,2622,5,376.75,20
77,23,2676,9,525.74,15
78,23,4282,17,362.95,20
79,24,1267,2,376.53,0
80,24,3275,19,125.09,5
81,24,3920,11,887.5,10
82,24,2642,9,704.53,0
83,24,4026,5,186.29,0
84,25,2817,7,548.73,0
85,25,4389,14,492.8,15
86,26,4484,19,313.97,20
87,26,2569,11,171.7,0
88,27,3320,15,628.08,0
89,27,481,18,573.03,0
90,27,131,3,401.77,0
91,27,367,18,31.88,0
92,27,3244,8,704.72,5
93,28,3892,10,39.6,10
94,28,680,18,476.24,0
95,28,1185,17,223.87,0
96,28,3586,10,564.84,0
97,29,1512,8,546.58,5
98,29,3800,1,491.37,10
99,29,269,20,349.92,15
100,29,2732,3,790.41,15
101,30,4412,8,232.35,5
102,30,3172,4,274.35,0
103,30,3196,3,624.08,10
104,30,3189,2,681.13,0
105,30,1320,11,496.78,0
106,31,3985,18,674.71,5
107,31,4977,10,467.62,20
108,31,416,20,451.67,0
109,32,2257,18,901.71,0
110,32,408,18,107.39,10
111,33,754,7,395.58,0
112,33,384,14,346.93,0
113,33,2702,18,676.52,5
114,33,4156,3,347.92,15
115,34,3699,16,217.32,0
116,34,2354,17,1131.2,0
117,34,3461,12,261.26,0
118,34,4142,1,259.99,5
119,35,3840,12,628.27,0
120,35,711,15,425.16,0
121,35,4810,8,315.72,20
122,35,1446,6,356.02,0
123,35,2186,3,338.16,5
124,36,4516,2,370.16,0
125,36,1775,5,209.52,15
126,37,1247,12,235.19,0
127,37,2698,13,144.81,0
128,37,383,9,842.23,15
129,38,3310,5,208.15,20
130,38,4138,2,75.64,10
131,38,4467,17,554.52,15
132,38,2363,4,215.14,20
133,38,3017,9,660.44,5
134,39,3738,14,740.52,0
135,39,4790,4,737.03,0
136,39,973,13,493.99,0
137,39,2818,7,577.25,0
138,40,1725,10,512.27,0
139,40,1894,16,132.97,5
140,41,3280,4,285.86,20
141,41,1087,1,248.86,0
142,41,2230,3,625.05,10
143,42,4570,12,527.53,0
144,42,2645,16,614.66,0
145,42,1952,16,533.49,20
146,42,4559,15,1054.05,5
147,43,2099,8,557.83,0
148,43,4479,11,188.13,20
149,43,4246,2,692.65,0
150,44,2178,12,168.7,20
151,44,2161,18,64.85,10
152,44,3101,12,323.78,0
153,44,3140,9,425.32,10
154,45,289,15,700.73,20
155,45,359,12,73.59,15
156,46,4730,20,20.68,20
157,47,3909,17,683.19,0
158,47,4084,16,595.98,10
159,47,2037,1,805.29,0
160,47,269,11,349.92,20
161,48,2011,6,198.48,0
162,48,488,12,379.91,15
163,49,1041,19,433.73,20
164,49,1428,9,189.33,0
165,49,3852,4,96.94,5
166,49,645,1,541.91,10
167,49,4257,20,350.28,15
168,50,4223,13,686.88,0
169,50,4603,20,424.82,15
170,50,3151,13,470.35,20
171,51,1910,17,492.39,0
172,51,3236,20,343.04,15
173,51,3489,11,504.14,0
174,51,2734,17,652.23,5
175,52,3800,18,491.37,10
176,52,4759,6,615.54,20
177,52,4803,10,169.15,20
178,52,1105,2,677.09,20
179,52,1943,13,330.56,10
180,53,607,16,334.62,15
181,53,2738,6,65.98,20
182,53,1253,15,427.05,10
183,54,2945,7,580.17,15
184,55,517,17,611.42,20
185,56,130,18,137.62,15
186,56,4910,15,484.36,0
187,56,2309,10,909.72,0
188,57,1817,12,741.1,15
189,57,4692,7,400.96,0
190,57,4708,2,493.83,5
191,57,4435,1,52.6,15
192,58,3610,2,666.72,0
193,58,4327,18,626.69,0
194,58,1756,19,118.3,5
195,58,2796,11,94.22,0
196,59,1942,15,403.98,20
197,59,3049,12,509.82,5
198,59,2143,10,166.39,0
199,60,4803,20,169.15,0
200,60,1365,10,119.59,0
201,60,3577,15,395.14,20
202,61,890,9,276.3,0
203,61,4689,5,277.33,10
204,61,3939,10,210.25,0
205,62,2311,13,302.95,0
206,62,1905,14,907.27,0
207,63,647,6,618.48,0
208,63,1700,8,721.33,10
209,63,374,12,157.25,10
210,63,921,6,470.99,5
211,63,4199,5,382.32,5
212,64,3499,13,195.36,20
213,64,2258,9,278.03,15
214,64,2313,6,409.92,20
215,64,4766,15,783.54,5
216,64,3783,3,310.21,0
217,65,170,20,301.06,5
218,65,2579,5,876.96,0
219,65,1878,13,267.51,10
220,65,1649,10,112.33,20
221,66,4418,5,457.41,0
222,66,3596,16,270.15,0
223,66,1118,6,201.47,15
224,66,1216,20,698.96,0
225,66,3299,13,131.73,0
226,67,1370,5,313.09,10
227,67,60,19,107.57,0
228,67,2019,3,639.99,10
229,67,2698,1,144.81,10
230,68,1710,12,660.78,0
231,68,3036,1,96.56,15
232,68,3840,4,628.27,20
233,69,3908,13,360.12,0
234,69,637,5,163.17,5
235,69,2558,14,721.89,10
236,69,2698,2,144.81,0
237,69,752,1,493.67,0
238,70,3339,5,652.6,10
239,70,1741,10,616.34,0
240,70,1334,3,823.83,15
241,70,2450,3,744.91,0
242,71,1573,8,6.62,0
243,71,1197,15,603.09,10
244,71,2488,9,762.77,0
245,72,2410,14,673.89,0
246,73,1669,12,186.05,0
247,73,1745,5,52.5,20
248,73,4925,18,472.8,15
249,73,4828,17,635.04,15
250,73,637,17,163.17,0
251,74,4157,9,759.14,15
252,74,3551,7,15.98,0
253,74,911,14,486.34,0
254,74,7,6,136.61,0
255,74,2298,2,527.96,10
256,75,789,7,77.51,5
257,75,3865,12,483.6,10
258,75,3601,9,681.51,0
259,75,3256,7,57.1,0
260,76,783,8,36.0,0
261,76,2479,11,18.75,15
262,76,2896,4,926.25,10
263,76,1546,11,368.61,0
264,76,3556,14,307.58,20
265,77,318,15,470.51,0
266,77,3478,4,185.37,10
267,77,3008,3,328.81,5
268,77,192,14,67.53,20
269,78,4679,9,307.01,10
270,78,513,7,680.01,5
271,79,1324,12,631.94,15
272,79,441,15,548.01,5
273,79,4665,12,398.72,0
274,79,365,7,403.74,10
275,80,1501,9,469.33,5
276,80,912,13,240.87,0
277,80,4769,19,781.48,0
278,81,1787,3,917.85,15
279,81,4165,18,553.38,15
280,81,1434,9,421.38,0
281,82,4527,19,32.85,0
282,83,3677,18,89.28,15
283,83,4422,5,5.12,0
284,83,451,11,146.54,5
285,83,683,16,85.94,10
286,84,708,7,288.69,15
287,84,834,7,267.72,10
288,84,4609,10,525.86,15
289,85,4099,18,586.28,0
290,86,3108,4,206.64,5
291,86,2414,7,639.13,5
292,86,851,12,122.92,0
293,86,2614,17,169.72,10
294,87,2677,11,627.48,20
295,87,2796,14,94.22,0
296,87,1484,6,275.54,20
297,87,2859,8,862.85,0
298,88,2263,11,293.4,20
299,88,1742,2,626.8,0
300,89,830,1,378.97,0
301,89,192,14,67.53,0
302,89,496,14,43.84,15
303,90,4902,11,6.56,15
304,90,525,1,66.62,5
305,90,775,10,59.09,15
306,90,3465,18,148.77,15
307,90,3347,12,489.95,0
308,91,4267,18,220.13,0
309,91,2207,1,183.51,10
310,91,2108,14,361.36,10
311,92,687,13,375.03,0
312,92,2910,18,354.62,15
313,93,1100,12,48.8,5
314,93,3870,6,537.43,0
315,94,3605,12,456.4,20
316,94,4386,17,570.69,15
317,95,860,15,102.79,5
318,95,4647,11,178.8,0
319,95,330,19,305.46,20
320,95,4036,8,680.43,10
321,96,555,20,630.99,0
322,96,89,2,631.29,20
323,96,2863,4,77.5,10
324,96,1787,3,917.85,5
325,96,4511,14,152.45,5
326,97,2621,16,377.6,5
327,97,2554,14,915.1,10
328,97,679,18,331.65,15
329,97,3313,18,351.47,20
330,98,423,9,125.45,20
331,98,2155,4,420.72,0
332,99,3880,9,557.8,20
333,100,3316,4,47.8,10
334,100,480,4,668.15,20
335,100,223,12,290.84,10
336,101,3412,7,502.97,0
337,101,49,7,388.71,0
338,101,3509,10,197.13,20
339,101,314,13,34.1,0
