so_id,customer_id,warehouse_id,employee_id,order_date,ship_date,status
1,1700,2,3,2025-02-15,2025-02-20,delivered
2,797,6,217,2025-01-24,2025-01-25,delivered
3,1004,3,184,2024-05-09,2024-05-13,shipped
4,15,8,14,2024-08-24,2024-08-27,delivered
5,1891,6,160,2024-06-14,,pending
6,1313,5,165,2023-08-12,2023-08-16,shipped
7,491,9,15,2024-11-01,,cancelled
8,337,1,117,2024-11-06,,cancelled
9,374,6,74,2025-05-11,2025-05-14,delivered
10,1890,5,189,2025-09-03,2025-09-06,delivered
11,1070,2,68,2023-05-23,2023-05-25,delivered
12,1054,9,33,2026-04-30,2026-05-04,delivered
13,1515,5,213,2023-06-15,,pending
14,1707,8,172,2023-01-02,2023-01-05,delivered
15,1141,2,152,2024-06-03,2024-06-05,shipped
16,1161,4,245,2026-06-11,2026-06-15,delivered
17,1718,3,46,2023-02-08,2023-02-11,delivered
18,879,1,235,2025-04-18,2025-04-19,delivered
19,84,10,75,2024-09-08,2024-09-11,delivered
20,682,1,229,2024-01-20,2024-01-25,delivered
21,1772,3,41,2024-09-17,2024-09-18,delivered
22,461,1,210,2024-10-23,2024-10-26,delivered
23,473,5,211,2026-02-21,2026-02-25,delivered
24,103,10,261,2024-02-15,2024-02-16,delivered
25,1781,4,296,2024-03-07,2024-03-08,delivered
26,1242,9,212,2026-01-18,2026-01-19,delivered
27,309,8,138,2025-08-19,2025-08-24,delivered
28,1145,2,192,2025-12-31,2026-01-05,shipped
29,1426,3,282,2025-08-29,,cancelled
30,1453,3,29,2025-11-07,2025-11-10,delivered
31,1031,5,184,2023-04-20,2023-04-25,delivered
32,1147,1,293,2024-01-16,2024-01-20,delivered
33,880,5,241,2024-09-28,2024-10-03,delivered
34,1975,4,147,2023-12-28,2023-12-29,delivered
35,1443,8,120,2025-11-13,2025-11-15,delivered
36,522,7,80,2025-06-29,2025-07-02,shipped
37,475,3,280,2024-08-19,2024-08-20,delivered
38,1627,8,158,2023-06-02,2023-06-04,delivered
39,1253,10,87,2023-11-22,2023-11-25,delivered
40,1631,5,25,2024-03-07,2024-03-08,delivered
41,1036,9,105,2026-06-08,2026-06-10,delivered
42,1218,10,212,2023-11-25,2023-11-30,delivered
43,1430,1,146,2024-10-27,2024-10-31,delivered
44,1116,10,121,2026-02-23,,cancelled
45,766,5,128,2025-05-27,2025-05-28,delivered
46,188,10,159,2024-02-04,2024-02-05,shipped
47,546,9,73,2026-01-26,2026-01-31,delivered
48,426,1,159,2025-10-23,2025-10-24,delivered
49,1395,7,256,2026-06-07,2026-06-08,delivered
50,1540,3,25,2024-12-16,2024-12-19,delivered
51,317,9,61,2025-11-14,2025-11-18,delivered
52,844,8,61,2026-04-07,2026-04-08,delivered
53,1720,9,269,2025-06-21,2025-06-25,delivered
54,527,5,273,2026-07-28,2026-08-01,shipped
55,1712,2,171,2025-11-11,2025-11-14,delivered
56,1214,9,129,2023-06-01,2023-06-06,delivered
57,1484,2,16,2023-04-19,2023-04-23,delivered
58,764,4,130,2025-08-05,2025-08-06,delivered
59,1901,2,28,2024-02-26,2024-03-02,delivered
60,1933,4,162,2024-12-04,2024-12-08,delivered
61,1419,10,183,2023-12-12,2023-12-14,delivered
62,1843,4,52,2025-01-18,2025-01-23,delivered
63,706,9,152,2024-12-24,2024-12-29,delivered
64,1969,9,66,2026-06-30,2026-07-03,delivered
65,591,7,115,2025-02-15,2025-02-18,delivered
66,1245,5,27,2025-03-19,2025-03-20,delivered
67,368,5,77,2025-01-27,2025-01-28,delivered
68,1129,6,83,2025-06-17,,pending
69,239,9,178,2024-06-10,,pending
70,1629,2,138,2024-02-01,2024-02-04,delivered
71,620,6,201,2025-08-22,2025-08-23,delivered
72,674,7,199,2023-07-01,2023-07-06,delivered
73,1296,6,213,2023-08-27,2023-09-01,delivered
74,149,3,65,2023-12-04,2023-12-09,delivered
75,253,1,195,2024-11-23,2024-11-26,delivered
76,1842,6,146,2024-06-22,2024-06-24,delivered
77,710,6,88,2024-06-10,2024-06-15,delivered
78,1723,1,78,2023-06-29,2023-07-03,delivered
79,1893,6,267,2023-09-19,2023-09-22,delivered
80,589,3,153,2023-11-26,2023-11-28,delivered
81,1275,2,94,2025-02-14,2025-02-17,delivered
82,808,2,233,2025-03-10,2025-03-13,delivered
83,1509,1,175,2025-02-17,2025-02-19,delivered
84,849,7,47,2023-06-14,2023-06-18,delivered
85,1552,4,79,2024-12-07,2024-12-09,delivered
86,1784,5,254,2023-11-02,2023-11-04,delivered
87,80,4,258,2023-12-03,2023-12-07,delivered
88,253,1,12,2023-11-07,2023-11-09,delivered
89,1569,1,141,2025-10-22,2025-10-25,delivered
90,806,5,239,2024-09-25,2024-09-29,delivered
91,1003,5,212,2026-03-28,2026-03-31,delivered
92,565,7,216,2025-09-01,2025-09-02,delivered
93,1851,9,147,2024-01-17,2024-01-19,delivered
94,958,1,284,2025-10-27,2025-11-01,delivered
95,1553,1,277,2025-06-21,2025-06-25,delivered
96,1361,2,36,2025-07-05,2025-07-09,delivered
97,298,7,123,2025-01-30,2025-02-02,delivered
98,985,2,91,2025-08-28,2025-09-02,delivered
99,762,8,41,2024-07-24,2024-07-26,delivered
100,1426,3,62,2024-01-11,2024-01-13,delivered
101,1892,9,150,2025-07-03,,pending
102,191,3,92,2026-03-03,,pending
103,774,9,47,2024-09-11,2024-09-12,shipped
104,199,8,283,2025-08-29,2025-08-30,delivered
105,1699,8,233,2023-06-12,2023-06-15,delivered
106,1221,3,193,2023-11-13,2023-11-18,delivered
107,437,4,271,2025-07-26,2025-07-30,delivered
108,842,5,99,2024-01-25,2024-01-30,delivered
109,1535,1,250,2023-01-01,2023-01-03,shipped
110,291,1,56,2026-01-03,2026-01-07,delivered
111,143,1,144,2026-02-22,2026-02-27,delivered
112,873,6,203,2024-01-12,2024-01-16,shipped
113,791,10,189,2026-06-20,,pending
114,978,2,87,2023-11-25,2023-11-29,delivered
115,940,8,15,2023-12-03,2023-12-04,delivered
116,159,2,222,2026-01-19,2026-01-21,delivered
117,1147,7,262,2023-09-28,2023-10-01,delivered
118,750,7,294,2024-04-10,2024-04-13,delivered
119,1342,2,23,2024-07-21,2024-07-23,delivered
120,604,5,52,2024-03-31,2024-04-03,delivered
121,431,7,242,2023-08-16,2023-08-20,delivered
122,1087,6,6,2024-03-11,2024-03-13,delivered
123,721,5,239,2023-07-23,2023-07-27,delivered
124,1770,4,50,2026-03-11,2026-03-13,delivered
125,1494,8,2,2025-09-06,2025-09-11,shipped
126,661,6,85,2024-07-22,2024-07-25,delivered
127,1371,8,234,2025-10-16,2025-10-20,delivered
128,1314,10,284,2024-03-14,2024-03-17,delivered
129,399,1,25,2026-05-03,2026-05-05,delivered
130,676,2,181,2023-09-02,2023-09-04,delivered
131,3,8,176,2023-08-08,2023-08-13,delivered
132,1486,1,208,2024-11-24,2024-11-29,delivered
133,1376,2,146,2026-03-29,2026-04-01,delivered
134,1703,9,130,2026-03-13,2026-03-15,delivered
135,1800,3,109,2024-11-23,2024-11-27,delivered
136,73,6,131,2024-11-22,2024-11-26,delivered
137,1406,9,207,2024-05-05,2024-05-06,delivered
138,1283,1,124,2024-05-22,2024-05-25,delivered
139,584,5,182,2023-10-07,2023-10-10,delivered
140,894,6,129,2023-03-27,2023-03-30,delivered
141,165,10,123,2025-08-19,2025-08-21,delivered
142,1732,3,18,2025-11-06,2025-11-08,delivered
143,786,9,229,2024-07-02,2024-07-03,delivered
144,106,4,36,2023-11-15,2023-11-17,delivered
145,1009,8,198,2026-07-16,2026-07-18,delivered
146,479,5,218,2025-01-28,2025-02-02,delivered
147,439,2,11,2026-07-04,2026-07-07,delivered
148,1251,5,6,2024-11-03,2024-11-04,delivered
149,614,2,135,2023-10-26,2023-10-27,delivered
150,527,5,37,2023-12-07,,pending
151,1226,7,164,2024-05-30,2024-05-31,shipped
152,261,8,191,2024-05-13,2024-05-16,delivered
153,1988,10,163,2023-12-27,2023-12-28,delivered
154,918,10,119,2023-12-08,2023-12-10,delivered
155,974,5,77,2026-01-20,2026-01-23,delivered
156,484,8,203,2026-05-09,2026-05-11,delivered
157,1798,4,203,2025-11-15,2025-11-19,delivered
158,1825,4,66,2024-09-16,2024-09-20,delivered
159,898,3,215,2024-06-16,2024-06-21,delivered
160,482,6,92,2025-04-18,2025-04-23,delivered
