transfer_id,product_id,from_warehouse_id,to_warehouse_id,employee_id,quantity,transfer_date,status
1,816,3,4,11,82,2024-11-07,completed
2,1324,1,7,199,195,2024-07-25,completed
3,4444,9,7,30,288,2025-06-12,completed
4,4765,3,5,268,17,2024-08-21,completed
5,2608,3,2,299,227,2025-10-08,completed
6,4636,1,8,296,132,2024-07-22,completed
7,4000,9,10,211,64,2025-11-26,completed
8,668,8,10,54,166,2025-05-21,completed
9,370,9,8,87,227,2024-11-22,completed
10,2078,3,6,83,187,2026-06-25,completed
11,3073,6,2,141,262,2025-03-20,completed
12,1764,7,3,288,66,2025-06-07,completed
13,3370,4,10,253,293,2023-10-24,completed
14,1014,9,2,198,170,2024-03-28,completed
15,402,4,10,143,137,2024-05-08,completed
16,2674,7,8,183,79,2023-07-12,completed
17,2436,7,8,232,58,2025-01-05,completed
18,2379,9,6,292,239,2024-03-20,completed
19,2546,5,2,224,53,2024-11-28,completed
20,2480,2,6,106,286,2025-07-04,completed
21,4222,10,3,281,39,2026-03-29,completed
22,39,4,3,212,114,2026-06-11,completed
23,3778,10,2,87,189,2026-07-22,completed
24,1176,4,3,149,140,2024-02-17,completed
25,3236,4,9,174,158,2023-02-19,completed
26,2747,5,7,47,237,2024-04-12,completed
27,4722,3,8,172,254,2025-07-19,completed
28,2316,9,6,287,149,2025-08-16,cancelled
29,648,4,6,39,257,2023-08-21,completed
30,2585,4,10,294,33,2023-06-11,completed
31,4509,5,8,272,203,2024-09-26,completed
32,4978,1,9,176,248,2023-06-26,completed
33,1633,8,9,242,53,2023-09-25,in_transit
34,3389,4,5,11,299,2025-09-07,completed
35,2950,10,6,28,200,2024-01-28,completed
36,3314,2,10,176,20,2025-04-04,completed
37,4860,8,9,208,35,2023-02-06,in_transit
38,4344,3,4,136,62,2023-03-11,completed
39,1078,7,2,170,54,2023-10-08,completed
40,3466,7,5,207,63,2023-12-21,completed
41,3356,6,2,77,285,2025-10-18,completed
42,1029,4,2,288,140,2023-06-30,completed
43,3733,5,7,1,88,2024-06-13,completed
44,16,10,7,48,155,2023-08-03,cancelled
45,2175,8,5,98,173,2026-04-27,completed
46,3758,9,1,104,191,2025-06-04,completed
47,3600,10,7,133,82,2025-09-26,completed
48,1625,4,1,115,294,2023-09-24,completed
49,2717,2,5,74,30,2024-02-29,in_transit
50,3599,2,7,82,194,2025-09-21,completed
51,1263,9,1,250,261,2023-06-26,completed
52,4342,3,1,23,125,2024-10-27,completed
53,1525,3,10,251,187,2026-01-26,completed
54,1206,8,9,223,176,2024-03-03,completed
55,3551,2,9,90,224,2024-09-18,in_transit
56,996,10,8,155,83,2023-11-01,completed
57,961,2,3,35,256,2025-11-12,completed
58,140,9,1,91,204,2026-02-14,completed
59,2417,3,9,182,48,2025-09-29,completed
60,4847,6,5,103,103,2024-12-01,completed
61,1426,9,10,94,35,2024-05-23,completed
62,1945,10,7,66,95,2024-06-30,completed
63,4677,1,9,75,212,2026-04-06,completed
64,4734,1,2,173,78,2026-03-14,completed
65,3077,9,3,263,87,2025-04-18,cancelled
66,1626,6,1,212,44,2023-01-17,completed
67,848,7,4,212,287,2025-09-05,completed
68,3117,7,8,70,27,2026-05-03,completed
69,2038,9,3,50,40,2023-01-07,completed
70,2979,4,2,163,108,2025-11-22,completed
71,1927,9,7,145,176,2026-05-12,completed
72,1993,1,2,48,147,2024-02-04,completed
73,4726,2,9,46,53,2025-05-13,completed
74,3525,3,6,299,110,2024-07-16,completed
75,463,2,8,152,180,2024-09-20,completed
76,3939,1,3,215,167,2023-08-03,completed
77,3899,1,10,262,278,2023-01-17,completed
78,3132,5,9,218,118,2025-04-20,completed
79,3043,3,6,117,191,2023-10-21,completed
80,2490,10,1,198,288,2023-09-08,completed
81,3858,6,9,181,174,2024-10-28,completed
82,3611,9,4,186,271,2025-08-18,completed
83,3280,2,7,111,246,2026-01-04,in_transit
84,4150,4,6,86,142,2025-04-17,in_transit
85,4246,7,6,85,151,2026-07-21,completed
86,2836,3,9,97,31,2026-01-28,completed
87,1864,7,9,183,58,2025-08-12,in_transit
88,1039,1,7,114,75,2023-02-19,completed
