warehouse_id,name,address,city,state,country,capacity_units
1,North Judithbury Distribution Center,18196 Anthony Forge,New Carolyn,Oklahoma,United States,154248
2,Robinsonshire Distribution Center,26542 Susan Junction Apt. 161,Melanieview,Arizona,United States,432589
3,Herrerafurt Distribution Center,495 Janet Cape,Port Keith,Colorado,United States,498432
4,Port Craig Distribution Center,5255 Elizabeth Squares Apt. 928,East Steven,Louisiana,United States,385544
5,Lake Mark Distribution Center,05641 Robin Port,Jasonfort,Montana,United States,387039
6,Thomasberg Distribution Center,884 Hurst Locks,Jeffreyberg,North Carolina,United States,308744
7,Port Brandonville Distribution Center,269 Paul Ranch,Riceside,Alabama,United States,406664
8,Lake Nicoleview Distribution Center,46270 Stanton Track Apt. 814,East Nathaniel,Hawaii,United States,332789
9,New Mariotown Distribution Center,4303 Christopher Oval,Port Amandaberg,Florida,United States,395899
10,Arroyoburgh Distribution Center,963 Jennifer Locks Suite 787,East Jeffreymouth,Alaska,United States,358443
